case	verdict	max_abs_diff	ssim	tol_max	tol_ssim	source	golden
lowPoly_mode_distance2	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/lowPoly_mode_distance2.golden.png
lowPoly_mode_distance3	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/lowPoly_mode_distance3.golden.png
lowPoly_mode_edges	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/lowPoly_mode_edges.golden.png
lowPoly_mode_flat	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/lowPoly_mode_flat.golden.png
mandala	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/mandala.golden.png
mandelbrot	PASS	1.0	0.99256	2.001	0.98	sweep	parity/out/mandelbrot.golden.png
median	NEAR	224.0	0.99523	255.0	0.99	sweep	parity/out/median.golden.png
median_radius_1	NEAR	106.0	0.99992	255.0	0.99	sweep	parity/out/median_radius_1.golden.png
median_radius_2	NEAR	178.0	0.99871	255.0	0.99	sweep	parity/out/median_radius_2.golden.png
modPattern	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/modPattern.golden.png
morphology	PASS	0.0	1.00000	2.001	0.98	sweep	parity/out/morphology.golden.png
morphology_mode_dilate	PASS	0.0	1.00000	2.001	0.98	sweep	parity/out/morphology_mode_dilate.golden.png
morphology_mode_erode	PASS	0.0	1.00000	2.001	0.98	sweep	parity/out/morphology_mode_erode.golden.png
morphology_shape_round	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/morphology_shape_round.golden.png
morphology_shape_square	PASS	0.0	1.00000	2.001	0.98	sweep	parity/out/morphology_shape_square.golden.png
mosaicTiles	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/mosaicTiles.golden.png
mosaicTiles_mode_mosaic	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/mosaicTiles_mode_mosaic.golden.png
mosaicTiles_mode_shifted	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/mosaicTiles_mode_shifted.golden.png
motionBlur.f0001	PASS	1.0	0.99995	2.001	0.98	accumulate	parity/out/motionBlur.f0001.golden.png
motionBlur.f0002	PASS	1.0	0.99998	2.001	0.98	accumulate	parity/out/motionBlur.f0002.golden.png
motionBlur.f0008	NEAR	3.0	0.99992	3.001	0.999	accumulate	parity/out/motionBlur.f0008.golden.png
newton	NEAR	252.0	0.99896	255.0	0.98	sweep	parity/out/newton.golden.png
noise	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/noise.golden.png
noise3d	PASS	1.0	0.99992	2.001	0.98	sweep	parity/out/noise3d.golden.png
normalMap	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/normalMap.golden.png
normalize	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/normalize.golden.png
octaveWarp	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/octaveWarp.golden.png
oilPaint	NEAR	108.0	0.99999	110.0	0.98	sweep	parity/out/oilPaint.golden.png
